Name,Prev. Season,Position,Service Time,Salary,G_x,PA_x,H_x,AVG_x,1B_x,2B_x,3B_x,HR_x,BB%_x,K%_x,BB/K_x,BABIP_x,wOBA_x,wRAA_x,wRC_x,RE24_x,O-Swing%_x,Z-Swing%_x,Swing%_x,O-Contact%_x,Z-Contact%_x,Contact%_x,SwStr%_x,EV_x,LA_x,HardHit%_x,Barrel%_x,OPS_x,SB_run,CS_run,UBR_x,Inn_x,E_x,DRS_x,UZR_x,RAA_x,FRM_x,SB_def,CS_def,G_y,PA_y,H_y,AVG_y,1B_y,2B_y,3B_y,HR_y,BB%_y,K%_y,BB/K_y,BABIP_y,wOBA_y,wRAA_y,wRC_y,RE24_y,O-Swing%_y,Z-Swing%_y,Swing%_y,O-Contact%_y,Z-Contact%_y,Contact%_y,SwStr%_y,EV_y,LA_y,HardHit%_y,Barrel%_y,OPS_y,SB_run,CS_run,UBR_y,Inn_y,E_y,DRS_y,UZR_y,RAA_y,FRM_y,SB_def,CS_def,Inn,E,DRS,UZR,RAA,FRM,SB_def,CS_def
Felix Pie,2010,LF,3,985000,82.0,308.0,79.0,0.274,54.0,15.0,5.0,5.0,0,0,0.25,0.316,0.314,-1.8,34.0,-5.35,0,0,0,0,0,0,0,0.0,0.0,0,0,0.718,5.0,2.0,1.0,656.33,1.0,1.0,-0.7999999999999998,0.0,0.0,0.0,0.0,82.0,308.0,79.0,0.274,54.0,15.0,5.0,5.0,4.2,16.9,0.25,0.316,0.314,-1.8,34.0,-5.35,35.9,72.1,51.7,67.8,93.9,83.7,8.5,0.0,0.0,0.0,0.0,0.718,5.0,2.0,1.0,656.33,1.0,1.0,-0.7999999999999998,0.0,0.0,0.0,0.0,656.33,1.0,1.0,-0.7999999999999998,0.0,0.0,0.0,0.0
Geovany Soto,2010,C,3,3000000,105.0,387.0,90.0,0.28,54.0,19.0,0.0,17.0,0,0,0.75,0.324,0.387,20.5,65.0,19.84,0,0,0,0,0,0,0,0.0,0.0,0,0,0.89,0.0,1.0,-3.7,847.33,4.0,3.0,0.0,0.0,8.1,74.0,21.0,105.0,387.0,90.0,0.28,54.0,19.0,0.0,17.0,16.0,21.4,0.75,0.324,0.387,20.5,65.0,19.84,16.4,60.8,37.3,48.5,84.4,76.0,8.9,0.0,0.0,0.0,0.0,0.89,0.0,1.0,-3.7,847.33,4.0,3.0,0.0,0.0,8.1,74.0,21.0,847.33,4.0,3.0,0.0,0.0,8.1,74.0,21.0
Howie Kendrick,2010,2B,4,3300000,158.0,658.0,172.0,0.279,117.0,41.0,4.0,10.0,0,0,0.3,0.313,0.316,-2.8,73.0,1.72,0,0,0,0,0,0,0,0.0,0.0,0,0,0.721,14.0,4.0,1.4,1355.3,10.0,-5.0,-7.6,0.0,0.0,0.0,0.0,158.0,658.0,172.0,0.279,117.0,41.0,4.0,10.0,4.3,14.3,0.3,0.313,0.316,-2.8,73.0,1.72,30.4,61.0,45.6,67.5,90.8,83.1,7.6,0.0,0.0,0.0,0.0,0.721,14.0,4.0,1.4,1355.3,10.0,-5.0,-7.6,0.0,0.0,0.0,0.0,1355.3,10.0,-5.0,-7.6,0.0,0.0,0.0,0.0
Humberto Quintero,2010,C,4,1000000,88.0,276.0,62.0,0.234,48.0,10.0,0.0,4.0,0,0,0.14,0.287,0.255,-14.6,17.0,-16.09,0,0,0,0,0,0,0,0.0,0.0,0,0,0.579,0.0,0.0,-2.1,653.67,5.0,7.0,0.0,0.0,3.5,35.0,19.0,88.0,276.0,62.0,0.234,48.0,10.0,0.0,4.0,2.9,21.4,0.14,0.287,0.255,-14.6,17.0,-16.09,43.0,72.0,56.3,66.8,84.7,77.3,12.6,0.0,0.0,0.0,0.0,0.579,0.0,0.0,-2.1,653.67,5.0,7.0,0.0,0.0,3.5,35.0,19.0,653.67,5.0,7.0,0.0,0.0,3.5,35.0,19.0
Hunter Pence,2010,RF,3,6900000,156.0,658.0,173.0,0.282,116.0,29.0,3.0,25.0,0,0,0.39,0.304,0.342,11.3,87.0,17.68,0,0,0,0,0,0,0,0.0,0.0,0,0,0.786,18.0,9.0,3.0,1370.33,6.0,4.0,0.6,0.0,0.0,0.0,0.0,156.0,658.0,173.0,0.282,116.0,29.0,3.0,25.0,6.2,16.0,0.39,0.304,0.342,11.3,87.0,17.68,32.4,67.7,48.4,65.6,88.6,80.1,9.6,0.0,0.0,0.0,0.0,0.786,18.0,9.0,3.0,1370.33,6.0,4.0,0.6,0.0,0.0,0.0,0.0,1370.33,6.0,4.0,0.6,0.0,0.0,0.0,0.0
Ian Stewart,2010,3B,2,2229000,121.0,441.0,99.0,0.256,65.0,14.0,2.0,18.0,0,0,0.41,0.308,0.337,5.8,56.0,-4.01,0,0,0,0,0,0,0,0.0,0.0,0,0,0.781,5.0,2.0,-1.8,925.33,10.0,4.0,-3.4,0.0,0.0,0.0,0.0,121.0,441.0,99.0,0.256,65.0,14.0,2.0,18.0,10.2,24.9,0.41,0.308,0.337,5.8,56.0,-4.01,29.8,67.5,46.1,56.5,84.0,73.9,11.9,0.0,0.0,0.0,0.0,0.781,5.0,2.0,-1.8,925.33,10.0,4.0,-3.4,0.0,0.0,0.0,0.0,925.33,10.0,4.0,-3.4,0.0,0.0,0.0,0.0
J.J. Hardy,2010,SS,5,5850000,101.0,375.0,91.0,0.268,63.0,19.0,3.0,6.0,0,0,0.52,0.299,0.315,-1.9,41.0,-4.94,0,0,0,0,0,0,0,0.0,0.0,0,0,0.714,1.0,1.0,-0.1,858.33,11.0,-5.0,7.4,0.0,0.0,0.0,0.0,101.0,375.0,91.0,0.268,63.0,19.0,3.0,6.0,7.5,14.4,0.52,0.299,0.315,-1.9,41.0,-4.94,25.4,54.5,39.6,72.4,92.0,85.5,5.6,0.0,0.0,0.0,0.0,0.714,1.0,1.0,-0.1,858.33,11.0,-5.0,7.4,0.0,0.0,0.0,0.0,858.33,11.0,-5.0,7.4,0.0,0.0,0.0,0.0
Jacoby Ellsbury,2010,CF,3,2400000,18.0,84.0,15.0,0.192,11.0,4.0,0.0,0.0,0,0,0.44,0.217,0.222,-6.6,3.0,-4.01,0,0,0,0,0,0,0,0.0,0.0,0,0,0.485,7.0,1.0,0.0,150.3,0.0,2.0,1.4000000000000001,0.0,0.0,0.0,0.0,18.0,84.0,15.0,0.192,11.0,4.0,0.0,0.0,4.8,10.7,0.44,0.217,0.222,-6.6,3.0,-4.01,25.2,54.5,39.6,82.5,96.4,91.9,3.2,0.0,0.0,0.0,0.0,0.485,7.0,1.0,0.0,150.3,0.0,2.0,1.4000000000000001,0.0,0.0,0.0,0.0,150.3,0.0,2.0,1.4000000000000001,0.0,0.0,0.0,0.0
James Loney,2010,1B,4,4875000,161.0,648.0,157.0,0.267,104.0,41.0,2.0,10.0,0,0,0.55,0.302,0.316,-2.4,72.0,9.6,0,0,0,0,0,0,0,0.0,0.0,0,0,0.723,10.0,5.0,2.4,1338.67,4.0,4.0,-0.2,0.0,0.0,0.0,0.0,161.0,648.0,157.0,0.267,104.0,41.0,2.0,10.0,8.0,14.7,0.55,0.302,0.316,-2.4,72.0,9.6,26.6,63.9,42.9,77.0,93.0,87.4,5.3,0.0,0.0,0.0,0.0,0.723,10.0,5.0,2.4,1338.67,4.0,4.0,-0.2,0.0,0.0,0.0,0.0,1338.67,4.0,4.0,-0.2,0.0,0.0,0.0,0.0
Jarrod Saltalamacchia,2010,C,3,750000,12.0,30.0,4.0,0.167,1.0,3.0,0.0,0.0,0,0,1.2,0.211,0.297,-0.6,3.0,-0.2,0,0,0,0,0,0,0,0.0,0.0,0,0,0.625,0.0,0.0,0.2,53.67,1.0,-1.0,0.0,0.0,-0.1,6.0,1.0,12.0,30.0,4.0,0.167,1.0,3.0,0.0,0.0,20.0,16.7,1.2,0.211,0.297,-0.6,3.0,-0.2,21.5,68.8,41.6,78.6,100.0,93.6,2.7,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.2,53.67,1.0,-1.0,0.0,0.0,-0.1,6.0,1.0,53.67,1.0,-1.0,0.0,0.0,-0.1,6.0,1.0
